ERROR 2025-07-29 20:57:40,643 yahoo_finance 27584 28184 Failed to get price history for XLU: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,643 cache 27584 28184 Failed to warm cache for XLU: Failed to get price history for XLU: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,915 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,915 yahoo_finance 27584 28184 Failed to get price history for XLB: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,915 cache 27584 28184 Failed to warm cache for XLB: Failed to get price history for XLB: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,201 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,201 yahoo_finance 27584 28184 Failed to get price history for XLRE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,201 cache 27584 28184 Failed to warm cache for XLRE: Failed to get price history for XLRE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,432 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,432 yahoo_finance 27584 28184 Failed to get price history for XLC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,433 cache 27584 28184 Failed to warm cache for XLC: Failed to get price history for XLC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,732 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,733 yahoo_finance 27584 28184 Failed to get price history for XLP: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:41,733 cache 27584 28184 Failed to warm cache for XLP: Failed to get price history for XLP: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
INFO 2025-07-29 21:02:17,970 cache 47772 680 Cache warmed for AAPL
INFO 2025-07-29 21:02:18,297 cache 47772 680 Cache warmed for MSFT
